game_id,Position,Ref,Date_Fetched
0022000107,official3,Matt Myers,2021-03-01
0022000108,official1,Sean Corbin,2021-03-01
0022000108,official2,Mitchell Ervin,2021-03-01
0022000108,official3,Haywoode Workman,2021-03-01
0022000109,official1,Ed Malloy,2021-03-01
0022000109,official2,Marat Kogut,2021-03-01
0022000109,official3,Suyash Mehta,2021-03-01
0022000110,official1,Kevin Scott,2021-03-01
0022000110,official2,JB DeRosa,2021-03-01
0022000110,official3,John Butler,2021-03-01
0022000111,official1,Brian Forte,2021-03-01
0022000111,official2,Gediminas Petraitis,2021-03-01
0022000111,official3,Brandon Adair,2021-03-01
0022000112,official1,Josh Tiven,2021-03-01
0022000112,official2,Eric Dalen,2021-03-01
0022000112,official3,Brandon Schwab,2021-03-01
0022000113,official1,Courtney Kirkland,2021-03-01
0022000113,official2,Matt Boland,2021-03-01
0022000113,official3,Nate Green,2021-03-01
0022000114,official1,James Capers,2021-03-01
0022000114,official2,Dedric Taylor,2021-03-01
0022000114,official3,Jenna Schroeder,2021-03-01
0022000115,official1,David Guthrie,2021-03-01
0022000115,official2,Karl Lane,2021-03-01
0022000115,official3,Robert Hussey,2021-03-01
0022000116,official1,Sean Wright,2021-03-01
0022000116,official2,Nick Buchert,2021-03-01
0022000116,official3,Leroy Richardson,2021-03-01
0022000117,official1,Mark Ayotte,2021-03-01
0022000117,official2,Justin Van Duyne,2021-03-01
0022000117,official3,Mousa Dagher,2021-03-01
0022000118,official1,Scott Foster,2021-03-01
0022000118,official2,Leon Wood,2021-03-01
0022000118,official3,Aaron Smith,2021-03-01
0022000119,official1,Tony Brothers,2021-03-01
0022000119,official2,Mitchell Ervin,2021-03-01
0022000119,official3,John Butler,2021-03-01
0022000120,official1,John Goble,2021-03-01
0022000120,official2,Tre Maddox,2021-03-01
0022000120,official3,Ashley Moyer-Gleich,2021-03-01
0022000121,official1,Zach Zarba,2021-03-01
0022000121,official2,Michael Smith,2021-03-01
0022000121,official3,Danielle Scott,2021-03-01
0022000122,official1,James Williams,2021-03-01
0022000122,official2,Derrick Collins,2021-03-01
0022000122,official3,Brett Nansel,2021-03-01
0022000123,official1,Marc Davis,2021-03-01
0022000123,official2,Gediminas Petraitis,2021-03-01
0022000123,official3,John Conley,2021-03-01
0022000124,official1,Scott Foster,2021-03-01
0022000124,official2,Eric Dalen,2021-03-01
0022000124,official3,Matt Myers,2021-03-01
0022000125,official1,Tony Brown,2021-03-01
0022000125,official2,JB DeRosa,2021-03-01
0022000125,official3,Andy Nagy,2021-03-01
0022000126,official1,Eric Lewis,2021-03-01
0022000126,official2,Sean Corbin,2021-03-01
0022000126,official3,Brandon Adair,2021-03-01
0022000127,official1,Sean Wright,2021-03-01
0022000127,official2,Scott Twardoski,2021-03-01
0022000127,official3,Robert Hussey,2021-03-01
0022000128,official1,Rodney Mott,2021-03-01
0022000128,official2,Jacyn Goble,2021-03-01
0022000128,official3,Mousa Dagher,2021-03-01
0022000129,official1,Courtney Kirkland,2021-03-01
0022000129,official2,Dedric Taylor,2021-03-01
0022000129,official3,Haywoode Workman,2021-03-01
0022000130,official1,David Guthrie,2021-03-01
0022000130,official2,Nick Buchert,2021-03-01
0022000130,official3,Justin Van Duyne,2021-03-01
0022000131,official1,Zach Zarba,2021-03-01
0022000131,official2,Karl Lane,2021-03-01
0022000131,official3,Danielle Scott,2021-03-01
0022000132,official1,Mark Ayotte,2021-03-01
0022000132,official2,Derrick Collins,2021-03-01
0022000132,official3,Leroy Richardson,2021-03-01
0022000133,official1,James Capers,2021-03-01
0022000133,official2,Aaron Smith,2021-03-01
0022000133,official3,Brandon Schwab,2021-03-01
0022000134,official1,Tre Maddox,2021-03-01
0022000134,official2,Jacyn Goble,2021-03-01
0022000134,official3,Suyash Mehta,2021-03-01
0022000135,official1,Marc Davis,2021-03-01
0022000135,official2,Scott Wall,2021-03-01
0022000135,official3,Andy Nagy,2021-03-01
0022000136,official1,Ken Mauer,2021-03-01
0022000136,official2,JB DeRosa,2021-03-01
0022000136,official3,John Butler,2021-03-01
0022000137,official1,Bill Kennedy,2021-03-01
0022000137,official2,Dedric Taylor,2021-03-01
0022000137,official3,Derek Richardson,2021-03-01
0022000138,official1,Eric Lewis,2021-03-01
0022000138,official2,Matt Boland,2021-03-01
0022000138,official3,Ashley Moyer-Gleich,2021-03-01
0022000139,official1,Brian Forte,2021-03-01
0022000139,official2,Scott Twardoski,2021-03-01
0022000139,official3,Brandon Adair,2021-03-01
0022000140,official1,David Guthrie,2021-03-01
0022000140,official2,Michael Smith,2021-03-01
0022000140,official3,Brett Nansel,2021-03-01
0022000141,official1,Curtis Blair,2021-03-01
0022000141,official2,Gediminas Petraitis,2021-03-01
0022000141,official3,Haywoode Workman,2021-03-01
0022000142,official1,Zach Zarba,2021-03-01
0022000142,official2,Karl Lane,2021-03-01
0022000142,official3,Leroy Richardson,2021-03-01
0022000143,official1,Sean Corbin,2021-03-01
0022000143,official2,Jonathan Sterling,2021-03-01
0022000143,official3,Robert Hussey,2021-03-01
0022000144,official1,Tony Brown,2021-03-01
0022000144,official2,Natalie Sago,2021-03-01
0022000144,official3,Mousa Dagher,2021-03-01
0022000145,official1,Scott Foster,2021-03-01
0022000145,official2,Eric Dalen,2021-03-01
0022000145,official3,Suyash Mehta,2021-03-01
0022000146,official1,Rodney Mott,2021-03-01
0022000146,official2,Brian Forte,2021-03-01
0022000146,official3,John Conley,2021-03-01
0022000147,official1,Courtney Kirkland,2021-03-01
0022000147,official2,Matt Boland,2021-03-01
0022000147,official3,Ashley Moyer-Gleich,2021-03-01
0022000148,official1,James Williams,2021-03-01
0022000148,official2,Mark Ayotte,2021-03-01
0022000148,official3,Justin Van Duyne,2021-03-01
0022000149,official1,Tre Maddox,2021-03-01
0022000149,official2,Natalie Sago,2021-03-01
0022000149,official3,Jason Goldenberg,2021-03-01
0022000150,official1,Curtis Blair,2021-03-01
0022000150,official2,Gediminas Petraitis,2021-03-01
0022000150,official3,Derek Richardson,2021-03-01
0022000151,official1,James Capers,2021-03-01
0022000151,official2,Scott Wall,2021-03-01
0022000151,official3,Phenizee Ransom,2021-03-01
0022000152,official1,Ken Mauer,2021-03-01
0022000152,official2,Dedric Taylor,2021-03-01
0022000152,official3,John Butler,2021-03-01
0022000153,official1,Bill Kennedy,2021-03-01
0022000153,official2,Eric Dalen,2021-03-01
0022000153,official3,John Conley,2021-03-01
0022000154,official1,Sean Wright,2021-03-01
0022000154,official2,Scott Twardoski,2021-03-01
0022000154,official3,Brett Nansel,2021-03-01
0022000155,official1,Eric Lewis,2021-03-01
0022000155,official2,Nick Buchert,2021-03-01
0022000155,official3,Simone Jelks,2021-03-01
0022000156,official1,David Guthrie,2021-03-01
0022000156,official2,Michael Smith,2021-03-01
0022000156,official3,Justin Van Duyne,2021-03-01
0022000157,official1,Marc Davis,2021-03-01
0022000157,official2,JB DeRosa,2021-03-01
0022000157,official3,Haywoode Workman,2021-03-01
0022000158,official1,Scott Foster,2021-03-01
0022000158,official2,Sean Corbin,2021-03-01
0022000158,official3,Jonathan Sterling,2021-03-01
0022000159,official1,Zach Zarba,2021-03-01
0022000159,official2,Marat Kogut,2021-03-01
0022000159,official3,Matt Myers,2021-03-01
0022000160,official1,Kevin Scott,2021-03-01
0022000160,official2,Brandon Adair,2021-03-01
0022000160,official3,Ashley Moyer-Gleich,2021-03-01
0022000161,official1,Rodney Mott,2021-03-01
0022000161,official2,Ben Taylor,2021-03-01
0022000161,official3,Danielle Scott,2021-03-01
0022000162,official1,Ed Malloy,2021-03-01
0022000162,official2,Lauren Holtkamp,2021-03-01
0022000162,official3,Andy Nagy,2021-03-01
0022000163,official1,James Williams,2021-03-01
0022000163,official2,Brian Forte,2021-03-01
0022000163,official3,Jenna Schroeder,2021-03-01
0022000164,official1,Kevin Scott,2021-03-01
0022000164,official2,Dedric Taylor,2021-03-01
0022000164,official3,Phenizee Ransom,2021-03-01
0022000165,official1,Zach Zarba,2021-03-01
0022000165,official2,Marat Kogut,2021-03-01
0022000165,official3,Derek Richardson,2021-03-01
0022000166,official1,John Goble,2021-03-01
0022000166,official2,Tom Washington,2021-03-01
0022000166,official3,Brandon Adair,2021-03-01
0022000167,official1,Ken Mauer,2021-03-01
0022000167,official2,Natalie Sago,2021-03-01
0022000167,official3,Jason Goldenberg,2021-03-01
0022000168,official1,Tony Brothers,2021-03-01
0022000168,official2,Bill Kennedy,2021-03-01
0022000168,official3,Nate Green,2021-03-01
0022000169,official1,Tre Maddox,2021-03-01
0022000169,official2,Scott Wall,2021-03-01
0022000169,official3,Eric Dalen,2021-03-01
0022000170,official1,Curtis Blair,2021-03-01
0022000170,official2,Nick Buchert,2021-03-01
0022000170,official3,Brett Nansel,2021-03-01
0022000171,official1,David Guthrie,2021-03-01
0022000171,official2,Michael Smith,2021-03-01
0022000171,official3,Mitchell Ervin,2021-03-01
0022000172,official1,Eric Lewis,2021-03-01
0022000172,official2,James Williams,2021-03-01
0022000172,official3,Leroy Richardson,2021-03-01
0022000173,official1,Josh Tiven,2021-03-01
0022000173,official2,Leon Wood,2021-03-01
0022000173,official3,Simone Jelks,2021-03-01
0022000174,official1,Scott Foster,2021-03-01
0022000174,official2,Sean Corbin,2021-03-01
0022000174,official3,Ashley Moyer-Gleich,2021-03-01
0022000175,official1,John Goble,2021-03-01
0022000175,official2,Derrick Collins,2021-03-01
0022000175,official3,Danielle Scott,2021-03-01
0022000176,official1,Marc Davis,2021-03-01
0022000176,official2,Nick Buchert,2021-03-01
0022000176,official3,Evan Scott,2021-03-01
0022000177,official1,Ed Malloy,2021-03-01
0022000177,official2,Ben Taylor,2021-03-01
0022000177,official3,Justin Van Duyne,2021-03-01
0022000178,official1,Brian Forte,2021-03-01
0022000178,official2,Scott Twardoski,2021-03-01
0022000178,official3,Jenna Schroeder,2021-03-01
0022000179,official1,Zach Zarba,2021-03-01
0022000179,official2,Derek Richardson,2021-03-01
0022000179,official3,Jason Goldenberg,2021-03-01
0022000180,official1,Kevin Scott,2021-03-01
0022000180,official2,Brent Barnaky,2021-03-01
0022000180,official3,Natalie Sago,2021-03-01
0022000181,official1,Ken Mauer,2021-03-01
0022000181,official2,Eric Dalen,2021-03-01
0022000181,official3,Phenizee Ransom,2021-03-01
0022000182,official1,Tony Brothers,2021-03-01
0022000182,official2,Tom Washington,2021-03-01
0022000182,official3,Brandon Adair,2021-03-01
0022000183,official1,Tre Maddox,2021-03-01
0022000183,official2,Scott Wall,2021-03-01
0022000183,official3,Mousa Dagher,2021-03-01
0022000184,official1,Rodney Mott,2021-03-01
0022000184,official2,Marat Kogut,2021-03-01
0022000184,official3,Brett Nansel,2021-03-01
0022000185,official1,Eric Lewis,2021-03-01
0022000185,official2,Michael Smith,2021-03-01
0022000185,official3,Mitchell Ervin,2021-03-01
0022000186,official1,Ed Malloy,2021-03-01
0022000186,official2,James Williams,2021-03-01
0022000186,official3,Justin Van Duyne,2021-03-01
0022000187,official1,David Guthrie,2021-03-01
0022000187,official2,Tyler Ford,2021-03-01
0022000187,official3,Jacyn Goble,2021-03-01
0022000188,official1,Josh Tiven,2021-03-01
0022000188,official2,Leon Wood,2021-03-01
0022000188,official3,Simone Jelks,2021-03-01
0022000189,official1,Marc Davis,2021-03-01
0022000189,official2,Karl Lane,2021-03-01
0022000189,official3,Dannica Mosher,2021-03-01
0022000190,official1,Bill Kennedy,2021-03-01
0022000190,official2,Derek Richardson,2021-03-01
0022000190,official3,Phenizee Ransom,2021-03-01
0022000191,official1,John Goble,2021-03-01
0022000191,official2,Derrick Collins,2021-03-01
0022000191,official3,Suyash Mehta,2021-03-01
0022000192,official1,Tony Brown,2021-03-01
0022000192,official2,Sean Corbin,2021-03-01
0022000192,official3,Danielle Scott,2021-03-01
0022000193,official1,Courtney Kirkland,2021-03-01
0022000193,official2,Aaron Smith,2021-03-01
0022000193,official3,Andy Nagy,2021-03-01
0022000194,official1,Eric Lewis,2021-03-01
0022000194,official2,Ben Taylor,2021-03-01
0022000194,official3,Matt Kallio,2021-03-01
0022000195,official1,Brian Forte,2021-03-01
0022000195,official2,Scott Twardoski,2021-03-01
0022000195,official3,Evan Scott,2021-03-01
0022000196,official1,Sean Wright,2021-03-01
0022000196,official2,Brent Barnaky,2021-03-01
0022000196,official3,Nate Green,2021-03-01
0022000197,official1,Kevin Scott,2021-03-01
0022000197,official2,Natalie Sago,2021-03-01
0022000197,official3,Matt Myers,2021-03-01
0022000198,official1,Ed Malloy,2021-03-01
0022000198,official2,Matt Boland,2021-03-01
0022000198,official3,Brett Nansel,2021-03-01
0022000199,official1,Rodney Mott,2021-03-01
0022000199,official2,Marat Kogut,2021-03-01
0022000199,official3,Jason Goldenberg,2021-03-01
0022000200,official1,Tony Brothers,2021-03-01
0022000200,official2,Leon Wood,2021-03-01
0022000200,official3,Simone Jelks,2021-03-01
0022000201,official1,Brian Forte,2021-03-01
0022000201,official2,Mitchell Ervin,2021-03-01
0022000201,official3,Jenna Schroeder,2021-03-01
0022000202,official1,Josh Tiven,2021-03-01
0022000202,official2,Tyler Ford,2021-03-01
0022000202,official3,Jacyn Goble,2021-03-01
0022000203,official1,Sean Wright,2021-03-01
0022000203,official2,Brent Barnaky,2021-03-01
0022000203,official3,Matt Myers,2021-03-01
0022000204,official1,Courtney Kirkland,2021-03-01
